[2026-03-12T16:38:50.099683Z] | [0.54] | [0f7dcd1e] | [Banco Unión S.A.]
[2026-03-12T16:38:59.709830Z] | [2.93] | [e6a06500] | [Banco FIE S.A.]
[2026-03-12T16:38:59.711400Z] | [3.93] | [ee034905] | [Banco FIE S.A.]
[2026-03-12T16:38:59.713265Z] | [2.75] | [e4476cec] | [Banco FIE S.A.]
[2026-03-12T16:38:59.714796Z] | [3.86] | [5bc9b66f] | [Banco FIE S.A.]
[2026-03-12T16:38:59.716149Z] | [1.43] | [24cdfae4] | [Banco FIE S.A.]
[2026-03-12T16:38:59.717518Z] | [3.54] | [d0f0fcf5] | [Banco FIE S.A.]
[2026-03-12T16:38:59.718888Z] | [1.57] | [4809bfa9] | [Banco FIE S.A.]
[2026-03-12T16:38:59.720243Z] | [0.55] | [c61a9337] | [Banco FIE S.A.]
[2026-03-12T16:38:59.721647Z] | [3.44] | [b4945f9f] | [Banco FIE S.A.]
[2026-03-12T16:38:59.723034Z] | [3.92] | [e7f5f00b] | [Banco FIE S.A.]
[2026-03-12T16:38:59.724468Z] | [2.2] | [f501c0d2] | [Banco FIE S.A.]
[2026-03-12T16:38:59.725837Z] | [2.97] | [fdfa65f6] | [Banco FIE S.A.]
[2026-03-12T16:38:59.727193Z] | [1.17] | [b9132940] | [Banco FIE S.A.]
[2026-03-12T16:38:59.728939Z] | [2.14] | [b4f4bfc7] | [Banco FIE S.A.]
[2026-03-12T16:38:59.730379Z] | [3.75] | [9cad1be4] | [Banco FIE S.A.]
[2026-03-12T16:38:59.731882Z] | [3.76] | [31174875] | [Banco FIE S.A.]
[2026-03-12T16:38:59.733301Z] | [0.82] | [b04f25d4] | [Banco FIE S.A.]
[2026-03-12T16:38:59.734737Z] | [3.84] | [9fdb402c] | [Banco FIE S.A.]
[2026-03-12T16:38:59.736094Z] | [1.6] | [14486b5d] | [Banco FIE S.A.]
[2026-03-12T16:38:59.737470Z] | [1.08] | [13ef567c] | [Banco FIE S.A.]
[2026-03-12T16:38:59.738816Z] | [1.98] | [7708b801] | [Banco FIE S.A.]
[2026-03-12T16:38:59.740196Z] | [1.87] | [87aabc9c] | [Banco FIE S.A.]
[2026-03-12T16:38:59.741552Z] | [1.37] | [13341d47] | [Banco FIE S.A.]
[2026-03-12T16:38:59.742909Z] | [1.7] | [757661ca] | [Banco FIE S.A.]
[2026-03-12T16:38:59.744672Z] | [3.42] | [8e7af95d] | [Banco FIE S.A.]
[2026-03-12T16:38:59.746055Z] | [3.1] | [e8f8e27c] | [Banco FIE S.A.]
[2026-03-12T16:38:59.747416Z] | [3.01] | [778fcee6] | [Banco FIE S.A.]
[2026-03-12T16:38:59.748792Z] | [3.81] | [40a103c5] | [Banco FIE S.A.]
[2026-03-12T16:38:59.750151Z] | [1.99] | [589087eb] | [Banco FIE S.A.]
[2026-03-12T16:38:59.751506Z] | [3.06] | [5da938ce] | [Banco FIE S.A.]
[2026-03-12T16:38:59.752869Z] | [1.36] | [3bbe2fc5] | [Banco FIE S.A.]
[2026-03-12T16:38:59.754199Z] | [1.11] | [9eda9cf7] | [Banco FIE S.A.]
[2026-03-12T16:38:59.755552Z] | [1.43] | [28700acb] | [Banco FIE S.A.]
[2026-03-12T16:38:59.756926Z] | [3.29] | [d821f7ea] | [Banco FIE S.A.]
[2026-03-12T16:38:59.758287Z] | [3.6] | [0e4eb3c1] | [Banco FIE S.A.]
[2026-03-12T16:38:59.759857Z] | [1.4] | [563e7ec1] | [Banco FIE S.A.]
[2026-03-12T16:38:59.761240Z] | [2.5] | [4d3d6d09] | [Banco FIE S.A.]
[2026-03-12T16:38:59.762628Z] | [3.26] | [b23adf36] | [Banco FIE S.A.]
[2026-03-12T16:38:59.764090Z] | [2.85] | [a1d39d26] | [Banco FIE S.A.]
[2026-03-12T16:38:59.765454Z] | [3.22] | [9ecf5bf8] | [Banco FIE S.A.]
[2026-03-12T16:38:59.766825Z] | [1.78] | [b8fe23a7] | [Banco FIE S.A.]
[2026-03-12T16:38:59.768200Z] | [1.68] | [e5bfe0ae] | [Banco FIE S.A.]
[2026-03-12T16:38:59.769594Z] | [2.29] | [033cceac] | [Banco FIE S.A.]
[2026-03-12T16:38:59.770946Z] | [2.27] | [c2a4e755] | [Banco FIE S.A.]
[2026-03-12T16:38:59.772325Z] | [2.98] | [03f1941d] | [Banco FIE S.A.]
[2026-03-12T16:38:59.773691Z] | [2.8] | [d0cdba82] | [Banco FIE S.A.]
[2026-03-12T16:38:59.775721Z] | [2.52] | [c9a10567] | [Banco FIE S.A.]
[2026-03-12T16:38:59.777130Z] | [2.7] | [fd479297] | [Banco FIE S.A.]
[2026-03-12T16:38:59.778487Z] | [1.34] | [985500a2] | [Banco FIE S.A.]
[2026-03-12T16:38:59.779844Z] | [1.77] | [171dae85] | [Banco FIE S.A.]
[2026-03-12T16:38:59.781190Z] | [1.8] | [f4cabc78] | [Banco FIE S.A.]
[2026-03-12T16:38:59.782559Z] | [0.98] | [e76195da] | [Banco FIE S.A.]
[2026-03-12T16:38:59.783925Z] | [0.52] | [83fea1c6] | [Banco FIE S.A.]
[2026-03-12T16:38:59.785307Z] | [1.55] | [47c3b86c] | [Banco FIE S.A.]
[2026-03-12T16:38:59.786661Z] | [3.19] | [97c32137] | [Banco FIE S.A.]
[2026-03-12T16:38:59.788005Z] | [3.6] | [4d14a33b] | [Banco FIE S.A.]
[2026-03-12T16:38:59.789387Z] | [1.21] | [fd26d35c] | [Banco FIE S.A.]
[2026-03-12T16:38:59.790888Z] | [3.17] | [9b37c760] | [Banco FIE S.A.]
[2026-03-12T16:38:59.792507Z] | [2.59] | [12f5bf2e] | [Banco FIE S.A.]
[2026-03-12T16:38:59.794130Z] | [2.22] | [11d9b3c8] | [Banco FIE S.A.]
[2026-03-12T16:38:59.795768Z] | [2.27] | [7365bcea] | [Banco FIE S.A.]
[2026-03-12T16:38:59.797311Z] | [2.86] | [952b09a2] | [Banco FIE S.A.]
[2026-03-12T16:38:59.798743Z] | [0.59] | [8d1cbc07] | [Banco FIE S.A.]
[2026-03-12T16:38:59.800173Z] | [3.19] | [971430a6] | [Banco FIE S.A.]
[2026-03-12T16:38:59.801616Z] | [0.55] | [3fa07265] | [Banco FIE S.A.]
[2026-03-12T16:38:59.803206Z] | [0.95] | [80f8afe3] | [Banco FIE S.A.]
[2026-03-12T16:38:59.805049Z] | [3.22] | [f0ea75e0] | [Banco FIE S.A.]
[2026-03-12T16:38:59.807336Z] | [1.03] | [ac893ed1] | [Banco FIE S.A.]
[2026-03-12T16:38:59.808951Z] | [2.68] | [e0217442] | [Banco FIE S.A.]
[2026-03-12T16:38:59.810673Z] | [0.65] | [34bce460] | [Banco FIE S.A.]
[2026-03-12T16:38:59.812377Z] | [2.81] | [e542a88a] | [Banco FIE S.A.]
[2026-03-12T16:38:59.814280Z] | [2.34] | [864ea870] | [Banco FIE S.A.]
[2026-03-12T16:38:59.815881Z] | [3.85] | [4e66bbb8] | [Banco FIE S.A.]
[2026-03-12T16:38:59.817421Z] | [1.87] | [9d410e3d] | [Banco FIE S.A.]
[2026-03-12T16:38:59.818947Z] | [2.97] | [d801b2c1] | [Banco FIE S.A.]
[2026-03-12T16:38:59.820501Z] | [2.88] | [bdd510be] | [Banco FIE S.A.]
[2026-03-12T16:38:59.822160Z] | [3.76] | [0ce21bbe] | [Banco FIE S.A.]
[2026-03-12T16:38:59.823597Z] | [3.31] | [cdc01322] | [Banco FIE S.A.]
[2026-03-12T16:38:59.825016Z] | [1.47] | [4311e770] | [Banco FIE S.A.]
[2026-03-12T16:38:59.826377Z] | [2.67] | [d2912ba1] | [Banco FIE S.A.]
[2026-03-12T16:38:59.827734Z] | [1.14] | [d58ab450] | [Banco FIE S.A.]
[2026-03-12T16:38:59.829085Z] | [1.01] | [716a334a] | [Banco FIE S.A.]
[2026-03-12T16:38:59.830430Z] | [2.21] | [1bee6d24] | [Banco FIE S.A.]
[2026-03-12T16:38:59.831778Z] | [1.76] | [50748f57] | [Banco FIE S.A.]
[2026-03-12T16:38:59.833279Z] | [3.09] | [08370ac9] | [Banco FIE S.A.]
[2026-03-12T16:38:59.834693Z] | [2.84] | [4c713725] | [Banco FIE S.A.]
[2026-03-12T16:38:59.836128Z] | [1.67] | [01903f1e] | [Banco FIE S.A.]
[2026-03-12T16:38:59.837635Z] | [2.33] | [22996ba2] | [Banco FIE S.A.]
[2026-03-12T16:38:59.839576Z] | [1.26] | [765bf8e3] | [Banco FIE S.A.]
[2026-03-12T16:38:59.841505Z] | [1.31] | [61ec830b] | [Banco FIE S.A.]
[2026-03-12T16:38:59.843421Z] | [2.57] | [09f0332b] | [Banco FIE S.A.]
[2026-03-12T16:38:59.845320Z] | [1.88] | [f1634730] | [Banco FIE S.A.]
[2026-03-12T16:38:59.847281Z] | [3.06] | [12775781] | [Banco FIE S.A.]
[2026-03-12T16:38:59.849551Z] | [2.1] | [d1d5a1fb] | [Banco FIE S.A.]
[2026-03-12T16:38:59.851785Z] | [1.94] | [b2000919] | [Banco FIE S.A.]
[2026-03-12T16:38:59.854207Z] | [2.94] | [233ef6a7] | [Banco FIE S.A.]
[2026-03-12T16:38:59.855903Z] | [3.97] | [1379af42] | [Banco FIE S.A.]
[2026-03-12T16:38:59.857665Z] | [1.36] | [3f7c9124] | [Banco FIE S.A.]
[2026-03-12T16:38:59.859224Z] | [1.25] | [4ad1a2f5] | [Banco FIE S.A.]
[2026-03-12T16:38:59.860769Z] | [2.48] | [f0dbdc63] | [Banco FIE S.A.]
[2026-03-12T16:38:59.862284Z] | [1.79] | [03a4ed57] | [Banco FIE S.A.]
[2026-03-12T16:38:59.863785Z] | [2.9] | [5212144d] | [Banco FIE S.A.]
[2026-03-12T16:38:59.865389Z] | [0.94] | [4dd5b016] | [Banco FIE S.A.]
[2026-03-12T16:38:59.866883Z] | [3.23] | [1eca7a72] | [Banco FIE S.A.]
[2026-03-12T16:38:59.868353Z] | [2.23] | [cc91feb5] | [Banco FIE S.A.]
[2026-03-12T16:38:59.869799Z] | [1.61] | [483263dd] | [Banco FIE S.A.]
[2026-03-12T16:38:59.871173Z] | [1.7] | [bb667148] | [Banco FIE S.A.]
[2026-03-12T16:38:59.872612Z] | [0.71] | [b71b41ed] | [Banco FIE S.A.]
[2026-03-12T16:38:59.873976Z] | [2.76] | [661a1e72] | [Banco FIE S.A.]
[2026-03-12T16:38:59.875421Z] | [3.63] | [61f8c8c3] | [Banco FIE S.A.]
[2026-03-12T16:38:59.876779Z] | [2.46] | [1ac6f3bb] | [Banco FIE S.A.]
[2026-03-12T16:38:59.878150Z] | [1.11] | [b14964ec] | [Banco FIE S.A.]
[2026-03-12T16:38:59.879501Z] | [1.93] | [de09ddb0] | [Banco FIE S.A.]
[2026-03-12T16:38:59.880859Z] | [2.48] | [24a348bb] | [Banco FIE S.A.]
[2026-03-12T16:38:59.882226Z] | [1.68] | [b3134738] | [Banco FIE S.A.]
[2026-03-12T16:38:59.883592Z] | [1.47] | [f7de409b] | [Banco FIE S.A.]
[2026-03-12T16:38:59.885385Z] | [1.62] | [ad8627ba] | [Banco FIE S.A.]
[2026-03-12T16:38:59.886887Z] | [2.61] | [f79d97bc] | [Banco FIE S.A.]
[2026-03-12T16:38:59.888534Z] | [0.84] | [46ae56a8] | [Banco FIE S.A.]
[2026-03-12T16:38:59.890091Z] | [2.56] | [a32e4baa] | [Banco FIE S.A.]
[2026-03-12T16:38:59.891693Z] | [0.92] | [264f8c4a] | [Banco FIE S.A.]
[2026-03-12T16:38:59.893255Z] | [3.16] | [d9cd7e55] | [Banco FIE S.A.]
[2026-03-12T16:38:59.894965Z] | [2.4] | [62c98844] | [Banco FIE S.A.]
[2026-03-12T16:38:59.896425Z] | [2.02] | [75f9dd9e] | [Banco FIE S.A.]
[2026-03-12T16:38:59.897904Z] | [2.2] | [5af956de] | [Banco FIE S.A.]
[2026-03-12T16:38:59.899346Z] | [2.83] | [5acc7d93] | [Banco FIE S.A.]
[2026-03-12T16:38:59.901272Z] | [0.67] | [8aab6942] | [Banco FIE S.A.]
[2026-03-12T16:38:59.902792Z] | [3.75] | [a890f107] | [Banco FIE S.A.]
[2026-03-12T16:38:59.904281Z] | [3.54] | [d7e14d78] | [Banco FIE S.A.]
[2026-03-12T16:38:59.907656Z] | [0.84] | [e1b0e7cf] | [Banco FIE S.A.]
[2026-03-12T16:38:59.910721Z] | [3.13] | [b83bcd96] | [Banco FIE S.A.]
[2026-03-12T16:38:59.912708Z] | [3.66] | [d581cf65] | [Banco FIE S.A.]
[2026-03-12T16:38:59.914530Z] | [1.49] | [477d18ab] | [Banco FIE S.A.]
[2026-03-12T16:38:59.916634Z] | [3.44] | [13cd9f0c] | [Banco FIE S.A.]
[2026-03-12T16:38:59.922636Z] | [3.33] | [90c20a84] | [Banco FIE S.A.]
[2026-03-12T16:38:59.927337Z] | [3.03] | [a7011619] | [Banco FIE S.A.]
[2026-03-12T16:38:59.929001Z] | [3.59] | [60ee61ca] | [Banco FIE S.A.]
[2026-03-12T16:38:59.930711Z] | [0.96] | [b0f4ceed] | [Banco FIE S.A.]
[2026-03-12T16:38:59.933385Z] | [2.27] | [fe340c09] | [Banco FIE S.A.]
[2026-03-12T16:38:59.936213Z] | [1.53] | [92a478af] | [Banco FIE S.A.]
[2026-03-12T16:38:59.939357Z] | [1.38] | [38296fa7] | [Banco FIE S.A.]
[2026-03-12T16:38:59.943256Z] | [2.64] | [786b1e18] | [Banco FIE S.A.]
[2026-03-12T16:38:59.945313Z] | [1.97] | [f5226f54] | [Banco FIE S.A.]
[2026-03-12T16:38:59.947620Z] | [1.8] | [179890c4] | [Banco FIE S.A.]
[2026-03-12T16:38:59.949301Z] | [2.91] | [f32c3d41] | [Banco FIE S.A.]
[2026-03-12T16:38:59.951057Z] | [1.11] | [896bc7e9] | [Banco FIE S.A.]
[2026-03-12T16:38:59.952798Z] | [2.03] | [2569cd54] | [Banco FIE S.A.]
[2026-03-12T16:38:59.954623Z] | [1.29] | [632890da] | [Banco FIE S.A.]
[2026-03-12T16:38:59.956561Z] | [0.7] | [0dd76fa6] | [Banco FIE S.A.]
[2026-03-12T16:38:59.958044Z] | [3.4] | [300f3c19] | [Banco FIE S.A.]
[2026-03-12T16:38:59.959607Z] | [1.75] | [283b3db4] | [Banco FIE S.A.]
[2026-03-12T16:38:59.961221Z] | [3.19] | [1918b9f6] | [Banco FIE S.A.]
[2026-03-12T16:38:59.963682Z] | [1.72] | [ae887e2b] | [Banco FIE S.A.]
[2026-03-12T16:38:59.965827Z] | [3.83] | [42351782] | [Banco FIE S.A.]
[2026-03-12T16:38:59.967405Z] | [3.98] | [4cb1db1e] | [Banco FIE S.A.]
[2026-03-12T16:38:59.968849Z] | [3.41] | [4048a3ff] | [Banco FIE S.A.]
[2026-03-12T16:38:59.970290Z] | [2.96] | [b96dbacf] | [Banco FIE S.A.]
[2026-03-12T16:38:59.971756Z] | [1.86] | [c8cd94df] | [Banco FIE S.A.]
[2026-03-12T16:38:59.973205Z] | [1.44] | [07472e96] | [Banco FIE S.A.]
[2026-03-12T16:38:59.974646Z] | [2.34] | [d6601b80] | [Banco FIE S.A.]
[2026-03-12T16:38:59.976216Z] | [2.78] | [2e980d60] | [Banco FIE S.A.]
[2026-03-12T16:38:59.977730Z] | [0.82] | [946a6868] | [Banco FIE S.A.]
[2026-03-12T16:38:59.980895Z] | [1.17] | [29d9d7b0] | [Banco FIE S.A.]
[2026-03-12T16:38:59.982408Z] | [2.63] | [a6d5a9a2] | [Banco FIE S.A.]
[2026-03-12T16:38:59.983905Z] | [1.71] | [af7c9737] | [Banco FIE S.A.]
[2026-03-12T16:38:59.985674Z] | [1.86] | [e85234fa] | [Banco FIE S.A.]
[2026-03-12T16:38:59.987219Z] | [1.65] | [75338e2d] | [Banco FIE S.A.]
[2026-03-12T16:38:59.988632Z] | [0.75] | [67547b67] | [Banco FIE S.A.]
[2026-03-12T16:38:59.990129Z] | [2.09] | [9beaa2ba] | [Banco FIE S.A.]
[2026-03-12T16:38:59.991541Z] | [1.05] | [05f4e808] | [Banco FIE S.A.]
[2026-03-12T16:38:59.993002Z] | [3.41] | [77754d49] | [Banco FIE S.A.]
[2026-03-12T16:38:59.994825Z] | [1.63] | [9676f87f] | [Banco FIE S.A.]
[2026-03-12T16:38:59.996784Z] | [3.51] | [10762b5a] | [Banco FIE S.A.]
[2026-03-12T16:38:59.998391Z] | [1.25] | [d63b4be8] | [Banco FIE S.A.]
[2026-03-12T16:38:59.999936Z] | [0.62] | [603a9269] | [Banco FIE S.A.]
[2026-03-12T16:39:00.001489Z] | [3.79] | [b1218928] | [Banco FIE S.A.]
[2026-03-12T16:39:00.003147Z] | [0.9] | [23be4d45] | [Banco FIE S.A.]
[2026-03-12T16:39:00.004666Z] | [1.87] | [cec010ff] | [Banco FIE S.A.]
[2026-03-12T16:39:00.006246Z] | [2.21] | [15b0b3de] | [Banco FIE S.A.]
[2026-03-12T16:39:00.007925Z] | [2.53] | [a9fa594f] | [Banco FIE S.A.]
[2026-03-12T16:39:00.009978Z] | [1.03] | [05892e2f] | [Banco FIE S.A.]
[2026-03-12T16:39:00.011601Z] | [0.66] | [2822ffd9] | [Banco FIE S.A.]
[2026-03-12T16:39:00.013074Z] | [1.8] | [7995dd19] | [Banco FIE S.A.]
[2026-03-12T16:39:00.014459Z] | [0.8] | [0bddb4ba] | [Banco FIE S.A.]
[2026-03-12T16:39:00.015896Z] | [2.21] | [8e17dcdc] | [Banco FIE S.A.]
[2026-03-12T16:39:00.017493Z] | [3.44] | [99e12db5] | [Banco FIE S.A.]
[2026-03-12T16:39:00.018954Z] | [2.94] | [9ba9eb1f] | [Banco FIE S.A.]
[2026-03-12T16:39:00.020341Z] | [2.3] | [8e9bdef7] | [Banco FIE S.A.]
[2026-03-12T16:39:00.021777Z] | [3.83] | [8f5c9769] | [Banco FIE S.A.]
[2026-03-12T16:39:00.023182Z] | [2.21] | [c1088290] | [Banco FIE S.A.]
[2026-03-12T16:39:00.024909Z] | [2.43] | [4e5a1a9f] | [Banco FIE S.A.]
[2026-03-12T16:39:00.027081Z] | [1.19] | [9625216b] | [Banco FIE S.A.]
[2026-03-12T16:39:00.029112Z] | [1.36] | [0e89e846] | [Banco FIE S.A.]
[2026-03-12T16:39:00.031524Z] | [3.04] | [6b2fa8ba] | [Banco FIE S.A.]
[2026-03-12T16:39:00.033436Z] | [2.11] | [e5886e19] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.035326Z] | [2.57] | [f46810f4] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.038887Z] | [2.38] | [955fc002] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.042706Z] | [3.76] | [c206ca57] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.068859Z] | [0.53] | [b6dd5387] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.072511Z] | [2.26] | [c337c831] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.074803Z] | [1.58] | [b216aba2] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.076876Z] | [2.17] | [15d9912f] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.078888Z] | [3.6] | [a303356c] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.081210Z] | [2.51] | [4c2395ed] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.082836Z] | [2.72] | [77221c98] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.084446Z] | [1.7] | [b034d734] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.086465Z] | [2.38] | [c0466c5b] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.089210Z] | [1.48] | [e64e2948] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.094694Z] | [2.1] | [5db65eed] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.099861Z] | [4.0] | [e743d097] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.128583Z] | [2.76] | [5c40bed6] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.130465Z] | [1.1] | [88bf34ec] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.132174Z] | [3.43] | [35d480c7] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.133926Z] | [2.74] | [94b4c054] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.136581Z] | [0.66] | [85ece404] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.142399Z] | [0.56] | [6df81ca6] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.144017Z] | [3.87] | [408baf6b] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.162752Z] | [2.05] | [a9939b74] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.166961Z] | [2.53] | [f48fd115] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.173339Z] | [2.54] | [344dbda1] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.175955Z] | [3.56] | [181b9887] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.177666Z] | [1.84] | [77393ec8] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.184324Z] | [1.64] | [4adc79a3] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.187093Z] | [1.53] | [1a93a81f] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.193117Z] | [2.59] | [0ac4d8eb] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.197877Z] | [3.24] | [34bdabd7] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.205033Z] | [3.72] | [708b5105] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.221732Z] | [1.57] | [d1c63b82] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.224267Z] | [0.68] | [9b65f1d5] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.227527Z] | [2.99] | [f9202132] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.236524Z] | [1.19] | [7dfb02bc] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.247454Z] | [1.89] | [21c43661] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.252537Z] | [3.15] | [f17b3ed6] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.260623Z] | [1.11] | [4770ca1d] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.263850Z] | [2.7] | [b6799263] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.272035Z] | [1.36] | [098c95d3] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.273707Z] | [1.74] | [e9f0ccd4] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.276063Z] | [1.47] | [52279c5a] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.277915Z] | [1.05] | [6ac8d8ef] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.283447Z] | [3.87] | [0b87e98d] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.286360Z] | [2.55] | [de50ccc1] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.288012Z] | [2.3] | [b1b26d86] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.294522Z] | [3.09] | [55430af0] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.298172Z] | [2.46] | [919303a4] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.304449Z] | [1.74] | [28f99abe] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.316489Z] | [3.67] | [74800060] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.318617Z] | [1.49] | [08724ae4] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.326671Z] | [3.76] | [9e0e7f94] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.333548Z] | [2.74] | [2ed56ff4] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.342383Z] | [2.87] | [e33c0ab0] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.355913Z] | [1.9] | [55d0d40d] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.362404Z] | [3.77] | [691bcc3f] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.365382Z] | [1.4] | [2ae18bcd] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.367086Z] | [1.5] | [59f80569] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.369283Z] | [3.2] | [c37157f1] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.397735Z] | [1.3] | [ea1c138c] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.404710Z] | [0.72] | [cc6093d7] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.407124Z] | [1.85] | [341e8cbe] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.408795Z] | [3.1] | [1bd76f05] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.410551Z] | [0.74] | [cb781e40] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.412279Z] | [3.39] | [c3e435ad] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.413980Z] | [1.4] | [d6a4ba24] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.416081Z] | [3.65] | [df3e258d] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.418416Z] | [1.08] | [d0ea558f] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.428215Z] | [3.93] | [8cd87c39] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.430198Z] | [2.71] | [90b4ef05] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.443497Z] | [1.21] | [32d118bf] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.446137Z] | [0.83] | [a739bc1b] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.448143Z] | [1.82] | [ecb86399] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.450786Z] | [2.04] | [c10412b6] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.452758Z] | [2.59] | [6b506ed5] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.454431Z] | [1.69] | [554167d4] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.456048Z] | [1.08] | [517dd616] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.457646Z] | [3.96] | [9ad07a42] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.459212Z] | [3.88] | [9fb587d2] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.461227Z] | [2.41] | [c8a3118a] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.464188Z] | [3.06] | [7e43cc0b] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.466291Z] | [1.77] | [f26169a7] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.467834Z] | [3.9] | [df4a302b] | [Banco PYME de la Comunidad S.A.]
[2026-03-12T16:39:00.469315Z] | [2.77] | [7eee0b34] | [Banco PYME de la Comunidad S.A.]
